#class tools::wcsv::ntuple
#title Escapes
#separator 44
#vector_separator 59
#column double EDep_Trigger
#column double N_Trigger
#column double EDep_PEN
#column double N_Left
#column double N_Right
#column double N_Bottom
#column double N_Front
#column double N_Back
2,60.7326,1010.39,343,19,299,21,303
1,42.7756,980.122,67,16,475,19,424
3,308.044,768.033,58,57,904,83,42
1,28.5304,1045.82,59,47,742,17,833
1,37.3965,1030.22,51,48,960,27,258
1,32.2042,1037.62,81,42,1263,41,77
1,114.376,330.751,13,64,280,43,22
2,279.909,255.691,16,18,49,75,28
1,37.1865,1033.84,34,95,1319,35,171
1,64.083,1007.01,27,156,185,880,13
1,29.6678,1040.58,224,24,1303,91,32
1,122.154,264.523,49,13,367,13,26
1,67.9782,1002.65,11,185,605,22,345
1,44.4789,915.282,46,56,1018,183,28
1,190.997,881.922,33,80,406,622,26
1,26.7238,1044.32,22,497,928,60,35
1,37.7225,1029.63,187,15,191,282,9
1,143.852,929.365,29,140,612,464,29
1,217.636,677.552,125,32,220,409,30
1,35.7734,1035.75,315,19,1198,91,45
1,47.2818,1024.12,130,30,1230,73,47
1,579.007,0.0445605,49,40,0,24,81
2,409.64,0.0603542,41,13,0,17,55
1,25.7311,1044.67,152,23,932,16,372
1,32.4099,1036.66,764,15,347,191,17
2,35.9215,536.596,24,25,535,14,167
1,26.4836,1046.15,78,56,1577,150,40
1,96.2271,697.992,336,14,163,19,147
1,256.468,817.326,170,50,982,65,55
1,84.9102,355.875,7,257,180,30,16
1,79.6887,993.083,16,439,765,207,23
1,61.9714,147.926,9,7,19,10,110
1,37.049,1033.6,274,23,997,18,346
1,55.4752,1015.8,808,17,358,20,128
1,55.317,138.94,3,85,69,15,7
1,28.8739,1044.03,30,312,1154,29,176
1,30.7852,1038.14,35,77,759,17,356
3,491.831,0.0859117,61,37,0,40,60
1,49.8871,986.01,22,281,1055,43,72
1,121.602,277.862,14,27,215,21,14
1,105.023,467.006,285,11,147,22,31
1,106.054,464.45,367,12,123,18,58
1,31.9307,1037.48,302,17,667,253,15
2,667.088,0.0773281,69,33,0,70,26
1,26.9559,1044.49,17,339,1070,70,38
1,37.8714,371.791,63,21,412,94,16
1,94.3107,977.917,865,18,276,76,27
8,427.122,0.11167,57,16,0,24,16
1,68.0189,248.9,11,280,35,10,19
1,594.495,0.0596056,32,41,0,79,24
1,36.1553,1035.3,43,56,1093,348,19
4,346.154,1119.41,55,24,416,123,17
1,233.174,478.075,22,68,116,10,445
